Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2020","2020","t","39307","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","17965.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2020","2020","t","270857","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2020","2020","t","131788","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2020","2020","t","127757","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2020","2020","t","793496","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2020","2020","t","15994","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2020","2020","t","993382","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01441","Linseed","2020","2020","t","34216","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2020","2020","t","271776","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2020","2020","t","1895","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01442","Mustard seed","2020","2020","t","1298","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01450","Olives","2020","2020","t","8021.47","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2020","2020","t","326006","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01323","Oranges","2020","2020","t","3001","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2020","2020","t","27772","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2020","2020","t","3775","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2020","2020","t","62117.47","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2020","2020","t","4300","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2020","2020","t","43855.34","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2020","2020","t","20","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01349.20","Other stone fruits","2020","2020","t","50085.44","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2020","2020","t","596012.04","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01345","Peaches and nectarines","2020","2020","t","70012","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01342.01","Pears","2020","2020","t","18020","A","Official figure",""
